id,espn_player_id,name,position,nfl_team_id,eligibility_status,is_active,fantasy_score,season,name
25623,3929630,"Saquon Barkley",RB,21,ACTIVE,1,400.5,2024,Eagles
25080,3043078,"Derrick Henry",RB,33,ACTIVE,1,362.5,2024,Ravens
25738,4429795,"Jahmyr Gibbs",RB,8,ACTIVE,1,351.0,2024,Lions
26047,4430807,"Bijan Robinson",RB,1,ACTIVE,1,321.5,2024,Falcons
25309,4047365,"Josh Jacobs",RB,9,ACTIVE,1,277.0,2024,Packers
26067,4242335,"Jonathan Taylor",RB,11,ACTIVE,1,277.0,2024,Colts
25384,4379399,"James Cook",RB,2,ACTIVE,1,261.0,2024,Bills
25546,4429160,"De'Von Achane",RB,15,ACTIVE,1,261.0,2024,Dolphins
26060,4430737,"Kyren Williams",RB,14,ACTIVE,1,261.0,2024,Rams
25704,3045147,"James Conner",RB,22,ACTIVE,1,247.5,2024,Cardinals
26181,3116385,"Joe Mixon",RB,34,ACTIVE,1,245.0,2024,Texans
26141,3054850,"Alvin Kamara",RB,18,ACTIVE,1,239.0,2024,Saints
25749,4241416,"Chuba Hubbard",RB,29,ACTIVE,1,230.5,2024,Panthers
25373,4596448,"Bucky Irving",RB,27,ACTIVE,1,224.5,2024,Buccaneers
25136,4362238,"Chase Brown",RB,4,ACTIVE,1,221.0,2024,Bengals
26145,3042519,"Aaron Jones",RB,16,ACTIVE,1,210.5,2024,Vikings
25023,4427366,"Breece Hall",RB,20,ACTIVE,1,207.5,2024,Jets
25470,4035538,"David Montgomery",RB,8,ACTIVE,1,199.0,2024,Lions
25060,4259545,"D'Andre Swift",RB,3,ACTIVE,1,190.0,2024,Bears
25804,4241457,"Najee Harris",RB,24,ACTIVE,1,189.0,2024,Chargers
25196,4038815,"Rico Dowdle",RB,29,ACTIVE,1,185.5,2024,Panthers
25268,3916148,"Tony Pollard",RB,10,ACTIVE,1,184.5,2024,Titans
25975,4241985,"J.K. Dobbins",RB,24,ACTIVE,1,177.0,2024,Chargers
25880,4360516,"Tyrone Tracy Jr.",RB,19,ACTIVE,1,163.0,2024,Giants
25058,4697815,"Rachaad White",RB,27,ACTIVE,1,161.5,2024,Buccaneers
25998,4426385,"Zach Charbonnet",RB,26,ACTIVE,1,161.0,2024,Seahawks
