name,fantasy_score,name,avg
"Brock Bowers",207.0,Raiders,11.5
"George Kittle",203.0,49ers,11.2777777777778
"Trey McBride",197.5,Cardinals,10.9722222222222
"Jonnu Smith",181.0,Dolphins,10.0555555555556
"Mark Andrews",153.5,Ravens,8.52777777777778
"Sam LaPorta",144.0,Lions,8.0
"Travis Kelce",143.5,Chiefs,7.97222222222222
"Zach Ertz",137.0,Commanders,7.61111111111111
"Pat Freiermuth",126.5,Steelers,7.02777777777778
"David Njoku",112.0,Browns,6.22222222222222
"Hunter Henry",108.0,Patriots,6.0
"Mike Gesicki",107.5,Bengals,5.97222222222222
"Kyle Pitts",100.5,Falcons,5.58333333333333
"Isaiah Likely",97.0,Ravens,5.38888888888889
"Tyler Conklin",89.5,Jets,4.97222222222222
"Dalton Schultz",85.5,Texans,4.75
"Chig Okonkwo",83.0,Titans,4.61111111111111
"Dallas Goedert",82.0,Eagles,4.55555555555556
"Will Dissly",79.0,Chargers,4.38888888888889
"Dalton Kincaid",75.0,Bills,4.16666666666667
"T.J. Hockenson",63.5,Vikings,3.52777777777778
"Jason Witten",0.0,Raiders,0.0
"Marcedes Lewis",0.0,Bears,0.0
"Jared Cook",0.0,FA,0.0
"Rob Gronkowski",0.0,FA,0.0
"Jimmy Graham",0.0,FA,0.0
"Kyle Rudolph",0.0,FA,0.0
"Lee Smith",0.0,FA,0.0
"Darren Fells",0.0,FA,0.0
"Jordan Reed",0.0,49ers,0.0
"Ryan Griffin",0.0,FA,0.0
"Jack Doyle",0.0,Colts,0.0
"Jordan Matthews",0.0,Panthers,0.0
"Richard Rodgers",0.0,FA,0.0
"Logan Thomas",0.0,FA,0.0
"Cameron Brate",0.0,FA,0.0
"Taysom Hill",0.0,Saints,0.0
"James O'Shaughnessy",0.0,FA,0.0
"MyCole Pruitt",0.0,Steelers,0.0
"Eric Tomlinson",0.0,FA,0.0
"Blake Bell",0.0,FA,0.0
"Chris Manhertz",0.0,Giants,0.0
"Tyler Higbee",0.0,Rams,0.0
"C.J. Uzomah",0.0,Eagles,0.0
"Nick Boyle",0.0,FA,0.0
"Paul Quessenberry",0.0,FA,0.0
"Matt LaCosse",0.0,FA,0.0
"Nick Vannett",0.0,Titans,0.0
"Stephen Anderson",0.0,FA,0.0
"Darren Waller",0.0,Giants,0.0
"Tyler Kroft",0.0,FA,0.0
"Maxx Williams",0.0,FA,0.0
"Pharaoh Brown",0.0,Dolphins,0.0
"Mason Schreck",0.0,FA,0.0
"Robert Tonyan",0.0,Chiefs,0.0
"Eric Saubert",0.0,49ers,0.0
"Jesse James",0.0,FA,0.0
"Garrett Griffin",0.0,FA,0.0
"Blake Jarwin",0.0,Cowboys,0.0
"Mo Alie-Cox",0.0,Colts,0.0
"Cethan Carter",0.0,Dolphins,0.0
"O.J. Howard",0.0,FA,0.0
"Austin Hooper",0.0,Patriots,0.0
"Geoff Swaim",0.0,Browns,0.0
"David Wells",0.0,FA,0.0
"Kevin Rader",0.0,FA,0.0
"Anthony Firkser",0.0,Chiefs,0.0
"Tanner Hudson",0.0,Bengals,0.0
"Ricky Seals-Jones",0.0,FA,0.0
"Evan Engram",0.0,Broncos,0.0
"Johnny Mundt",0.0,Jaguars,0.0
"Darrell Daniels",0.0,FA,0.0
"Durham Smythe",0.0,Bears,0.0
"Ross Dwelley",0.0,FA,0.0
"Matt Sokol",0.0,FA,0.0
"Kendall Blanton",0.0,FA,0.0
"Tommy Sweeney",0.0,FA,0.0
"Chris Herndon",0.0,FA,0.0
