name,fantasy_score,name
"Ja'Marr Chase",365.5,Bengals
"Justin Jefferson",280.5,Vikings
"Amon-Ra St. Brown",268.5,Lions
"Brian Thomas Jr.",251.5,Jaguars
"Terry McLaurin",240.0,Commanders
"Drake London",232.0,Falcons
"Malik Nabers",224.5,Giants
"CeeDee Lamb",219.5,Cowboys
"Jerry Jeudy",209.0,Browns
"Garrett Wilson",207.5,Jets
"Davante Adams",205.5,Rams
"Mike Evans",205.0,Buccaneers
"Ladd McConkey",205.0,Chargers
"Courtland Sutton",202.5,Broncos
"Jaxon Smith-Njigba",201.0,Seahawks
"Jameson Williams",200.0,Lions
"A.J. Brown",194.5,Eagles
"Nico Collins",186.0,Texans
"Tee Higgins",185.5,Bengals
"DJ Moore",183.0,Bears
"Zay Flowers",183.0,Ravens
"Tyreek Hill",181.5,Dolphins
"Jordan Addison",179.5,Vikings
"Jakobi Meyers",176.5,Raiders
"Puka Nacua",173.5,Rams
"Jauan Jennings",169.5,49ers
"Jayden Reed",169.5,Packers
"Marvin Harrison Jr.",169.0,Cardinals
"DK Metcalf",166.0,Steelers
"DeVonta Smith",165.0,Eagles
"Calvin Ridley",160.0,Titans
"Darnell Mooney",159.0,Falcons
"Alec Pierce",153.5,Colts
"Xavier Worthy",151.5,Chiefs
"Cooper Kupp",150.5,Seahawks
"Rashod Bateman",149.5,Ravens
"Josh Downs",149.0,Colts
"Quentin Johnston",148.5,Chargers
"Khalil Shakir",148.0,Bills
"Keenan Allen",146.0,Bears
"George Pickens",135.5,Steelers
"Deebo Samuel Sr.",130.5,Commanders
"Michael Pittman Jr.",129.5,Colts
"Jalen Tolbert",122.5,Cowboys
"Nick Westbrook-Ikhine",120.0,Dolphins
"Jaylen Waddle",119.0,Dolphins
"Adam Thielen",118.0,Panthers
"Rome Odunze",117.0,Bears
"DeAndre Hopkins",111.0,Ravens
"Tank Dell",110.5,Texans
"Jalen McMillan",109.5,Buccaneers
"DeMario Douglas",107.0,Patriots
"Romeo Doubs",103.0,Packers
"Demarcus Robinson",101.5,49ers
"Amari Cooper",96.0,Bills
"Keon Coleman",94.5,Bills
"Stefon Diggs",93.5,Texans
"Michael Wilson",93.5,Cardinals
"Xavier Legette",92.5,Panthers
"Christian Watson",90.5,Packers
"Tyler Lockett",88.5,FA
"Elijah Moore",87.5,Browns
"Marquez Valdes-Scantling",76.5,Seahawks
"Rashid Shaheed",75.0,Saints
"Diontae Johnson",70.5,Ravens
"Cedric Tillman",62.5,Browns
"Christian Kirk",53.5,Texans
"Curtis Samuel",42.5,Bills
"Hollywood Brown",12.5,Chiefs
"DeSean Jackson",0.0,FA
"Matthew Slater",0.0,Patriots
"Danny Amendola",0.0,FA
"Andre Roberts",0.0,FA
"Emmanuel Sanders",0.0,FA
"Antonio Brown",0.0,FA
"Julio Jones",0.0,FA
"A.J. Green",0.0,FA
"Randall Cobb",0.0,FA
"Chris Hogan",0.0,Saints
"T.Y. Hilton",0.0,FA
"Marvin Jones Jr.",0.0,FA
"Cole Beasley",0.0,FA
"Josh Gordon",0.0,FA
"Tavon Austin",0.0,FA
"Marquise Goodwin",0.0,FA
"Robert Woods",0.0,Texans
"Sammy Watkins",0.0,FA
"Brandin Cooks",0.0,Cowboys
"Odell Beckham Jr.",0.0,FA
"Jarvis Landry",0.0,FA
"Allen Robinson",0.0,Lions
"John Brown",0.0,FA
"Martavis Bryant",0.0,FA
"Willie Snead IV",0.0,FA
"Diontae Spencer",0.0,Jets
"Tyler Johnson",0.0,Rams
"Robbie Chosen",0.0,FA
"Devin Smith",0.0,Panthers
"Adam Humphries",0.0,FA
"Chris Moore",0.0,Commanders
"DeVante Parker",0.0,Eagles
"Jamison Crowder",0.0,Commanders
"Jakeem Grant Sr.",0.0,FA
"Damiere Byrd",0.0,FA
"Marvin Hall",0.0,FA
"Chris Conley",0.0,49ers
"Phillip Dorsett II",0.0,Falcons
"DeAndre Carter",0.0,Bears
"Tyrell Williams",0.0,FA
"Nelson Agholor",0.0,Ravens
"Marcus Johnson",0.0,FA
"JoJo Natson",0.0,FA
"Breshad Perriman",0.0,FA
"Kalif Raymond",0.0,Lions
"C.J. Board",0.0,FA
"Kenny Golladay",0.0,FA
"Michael Thomas",0.0,FA
"Sterling Shepard",0.0,Buccaneers
"Alex Erickson",0.0,FA
"Zach Pascal",0.0,FA
"Jaydon Mickens",0.0,FA
"Tajae Sharpe",0.0,FA
"Chester Rogers",0.0,FA
"Mack Hollins",0.0,Patriots
"Trent Taylor",0.0,49ers
"Kevin White",0.0,FA
"Corey Davis",0.0,Jets
"Rashard Higgins",0.0,FA
"Tanner Gentry",0.0,FA
"Mike Williams",0.0,Chargers
"Tyler Boyd",0.0,Titans
"Kendrick Bourne",0.0,Patriots
"Marcus Kemp",0.0,FA
"Keith Kirkwood",0.0,Ravens
"KhaDarel Hodge",0.0,Falcons
"Pharoh Cooper",0.0,FA
"Anthony Miller",0.0,Ravens
"Laquon Treadwell",0.0,Colts
"River Cracraft",0.0,Dolphins
"Devon Allen",0.0,FA
"John Ross",0.0,FA
"William Fuller V",0.0,FA
"Zay Jones",0.0,Cardinals
"Jamal Agnew",0.0,FA
"Keelan Cole Sr.",0.0,FA
"Jake Kumerow",0.0,FA
"Brandon Powell",0.0,Vikings
"Josh Reynolds",0.0,FA
"Cam Sims",0.0,FA
"Russell Gage",0.0,49ers
"DJ Chark Jr.",0.0,Chargers
"Cody Hollister",0.0,FA
"Geronimo Allison",0.0,FA
"Malik Turner",0.0,FA
"Chris Godwin",0.0,Buccaneers
"Justin Watson",0.0,Texans
"Nsimba Webster",0.0,Bears
"JuJu Smith-Schuster",0.0,Chiefs
"Daurice Fountain",0.0,FA
"Keelan Doss",0.0,FA
"Noah Brown",0.0,Commanders
"Parris Campbell",0.0,Cowboys
"Trent Sherfield Sr.",0.0,Broncos
"James Washington",0.0,FA
"Richie James",0.0,FA
"Braxton Berrios",0.0,Texans
"Mike Thomas",0.0,FA
"Christian Blake",0.0,FA
"Cody Thompson",0.0,FA
"Tom Kennedy",0.0,Lions
"Dante Pettis",0.0,Saints
"Juwann Winfree",0.0,Colts
"Allen Lazard",0.0,Jets
"Tre'Quan Smith",0.0,FA
"Isaiah McKenzie",0.0,FA
"Tim Patrick",0.0,Lions
"Hunter Renfrow",0.0,Raiders
"Cameron Batson",0.0,FA
"KaVontae Turpin",0.0,Cowboys
"Stanley Morgan Jr.",0.0,Titans
"Kendall Hinton",0.0,FA
"Ray-Ray McCloud III",0.0,Falcons
"David Sills V",0.0,Falcons
"Andre Baccellia",0.0,Cardinals
"Dede Westbrook",0.0,FA
"Tyron Billy-Johnson",0.0,FA
"Kristian Wilkerson",0.0,Raiders
"Maurice Alexander",0.0,Bears
"Andy Isabella",0.0,FA
"Scotty Miller",0.0,Steelers
"Preston Williams",0.0,FA
"Lucky Jackson",0.0,Vikings
"Tony Brown",0.0,FA
"Keke Coutee",0.0,FA
"James Proche II",0.0,Browns
"K.J. Osborn",0.0,Commanders
"Darius Slayton",0.0,Giants
"Omar Bayless",0.0,FA
"Penny Hart",0.0,FA
"Ja'Marcus Bradley",0.0,FA
"Olamide Zaccheaus",0.0,Bears
"Steven Sims",0.0,Ravens
"Alex Bachman",0.0,Raiders
"Auden Tate",0.0,FA
"Britain Covey",0.0,Eagles
"Jeff Smith",0.0,FA
"Irvin Charles",0.0,Jets
"Dan Chisena",0.0,Panthers
"Van Jefferson",0.0,Titans
"Trenton Irwin",0.0,FA
"J.J. Arcega-Whiteside",0.0,FA
"Jacob Harris",0.0,FA
"Miles Boykin",0.0,FA
"Jalen Guyton",0.0,FA
"Equanimeous St. Brown",0.0,FA
"Davion Davis",0.0,FA
"Samori Toure",0.0,Bears
"Cade Johnson",0.0,FA
"Raleigh Webb",0.0,FA
"Michael Bandy",0.0,Broncos
"Freddie Swain",0.0,FA
"Tyrie Cleveland",0.0,FA
"Mecole Hardman",0.0,Chiefs
"Javon Wims",0.0,FA
"Marquez Callaway",0.0,Buccaneers
"Brandon Johnson",0.0,Steelers
"Denzel Mims",0.0,FA
"Cornell Powell",0.0,FA
"Landen Akers",0.0,FA
"Ben Skowronek",0.0,Steelers
"Kendric Pryor",0.0,Bengals
"Quintez Cephus",0.0,Rams
"Jordan Veasy",0.0,FA
"Kwamie Lassiter II",0.0,FA
"Dez Fitzpatrick",0.0,Chargers
"DJ Turner",0.0,Raiders
"Cedrick Wilson Jr.",0.0,Saints
"Michael Gallup",0.0,FA
"Byron Pringle",0.0,FA
"Jalen Virgil",0.0,Bills
"Greg Dortch",0.0,Cardinals
